catalog,group,recipe,component,x_span_mm,y_span_mm,z_span_mm
rust,preset,halberd-1540,shaft,40.48,1820.0,40.48
rust,preset,halberd-1540,socket,66.0,240.0,64.997
rust,preset,halberd-1540,butt-cap,44.0,40.0,44.0
rust,preset,halberd-1540,axe,167.5,272.43,22.0
rust,preset,halberd-1540,beak,100.0,72.438,18.0
rust,preset,halberd-1540,spike,58.14,320.0,22.0
rust,preset,halberd-1540,langet-left,13.0,380.0,5.0
rust,preset,halberd-1540,langet-right,13.0,380.0,5.0
rust,preset,lucerne-hammer,shaft,40.48,1740.0,40.48
rust,preset,lucerne-hammer,socket,66.0,240.0,64.997
rust,preset,lucerne-hammer,butt-cap,44.0,40.0,44.0
rust,preset,lucerne-hammer,poll,95.0,75.0,70.0
rust,preset,lucerne-hammer,beak,140.0,56.913,18.0
rust,preset,lucerne-hammer,spike,50.089,310.0,22.0
rust,preset,lucerne-hammer,langet-left,13.0,420.0,5.0
rust,preset,lucerne-hammer,langet-right,13.0,420.0,5.0
rust,preset,pollaxe,shaft,40.48,1480.0,40.48
rust,preset,pollaxe,socket,64.0,250.0,63.028
rust,preset,pollaxe,butt-cap,44.0,40.0,44.0
rust,preset,pollaxe,axe,127.175,172.8,23.0
rust,preset,pollaxe,poll,97.0,65.0,68.0
rust,preset,pollaxe,spike,47.94,250.0,22.0
rust,preset,pollaxe,langet-left,13.0,500.0,5.0
rust,preset,pollaxe,langet-right,13.0,500.0,5.0
rust,preset,kriegsspiess,shaft,34.96,3350.0,34.96
rust,preset,kriegsspiess,socket,54.0,180.0,53.18
rust,preset,kriegsspiess,butt-cap,38.0,40.0,38.0
rust,preset,kriegsspiess,spike,42.157,250.0,22.0
rust,preset,short-spear,shaft,36.8,1720.0,36.8
rust,preset,short-spear,socket,62.0,200.0,61.058
rust,preset,short-spear,butt-cap,40.0,40.0,40.0
rust,preset,short-spear,spike,83.333,310.0,24.0
rust,preset,partisan,shaft,38.64,1780.0,38.64
rust,preset,partisan,socket,68.0,220.0,66.967
rust,preset,partisan,butt-cap,42.0,40.0,42.0
rust,preset,partisan,partisan,145.0,420.0,22.0
rust,preset,partisan,langet-left,13.0,320.0,5.0
